CodigoNave,Viaje,CodigoPaisCarga,CodigoPuertoCarga,CodigoPaisDesCarga,CodigoPuertoDesCarga,fechaSalida,fechaLlegada
1,607,TW,KLUG,PE,CLLO,2022-06-25,2022-07-31
1,707,HK,HGKG,PE,CLLO,2022-09-12,2022-10-15
1,1005,CN,SNGI,KR,BSAN,2023-04-23,2023-04-25
1,1005,HK,HGKG,CN,SNGI,2023-04-18,2023-04-22
1,1005,KR,BSAN,TW,KLUG,2023-04-25,2023-04-26
1,1005,TW,KLUG,PE,CLLO,2023-04-26,2023-05-21
1,1005,TW,KHIG,HK,HGKG,2023-04-16,2023-04-17
1,1025,CN,JNGN1,TW,KLUG,2023-09-14,2023-09-17
1,1025,CN,SNZN,HK,HGKG,2023-09-19,2023-09-19
1,1025,HK,HGKG,PE,CLLO,2023-09-20,2023-11-04
1,1025,KR,BSAN,CN,SNZN,2023-09-19,2023-09-19
1,1025,TW,KLUG,KR,BSAN,2023-09-17,2023-09-19
1,1105,CN,NNGO,PE,CLLO,2023-07-10,2023-08-06
1,1105,CN,SNGI,CN,NNGO,2023-07-08,2023-07-09
1,1105,HK,HGKG,CN,SNGI,2023-07-04,2023-07-07
1,1305,HK,HGKG,KR,BSAN,2023-12-05,2023-12-12
1,1305,KR,BSAN,PE,CLLO,2023-12-12,2024-01-07
1,1305,TW,KLUG,HK,HGKG,2023-12-03,2023-12-04
1,1405,CN,JNGN1,TW,KLUG,2024-02-11,2024-02-18
1,1405,TW,KLUG,PE,CLLO,2024-02-19,2024-03-24
1,1505,CN,NNGO,PE,CLLO,2024-05-13,2024-06-09
1,1505,HK,HGKG,CN,NNGO,2024-05-06,2024-05-13
1,1505,TW,KLUG,HK,HGKG,2024-05-04,2024-05-05
1,707,KR,BSAN,PE,CLLO,2022-09-20,2022-10-15
1,707,TW,KLUG,KR,BSAN,2022-09-10,2022-09-20
1,707,CL,VARO,PE,CLLO,2022-10-22,2022-10-29
1,1105,CN,SNZN,KR,BSAN,2023-07-04,2023-07-12
1,1105,CN,QGDO,CN,SNZN,2023-07-03,2023-07-04
1,1105,KR,BSAN,PE,CLLO,2023-07-12,2023-08-06
1,1105,TW,KLUG,CN,QGDO,2023-07-01,2023-08-03
1,1105,MX,MANO1,PE,CLLO,2023-08-13,2023-08-18
1,1105,PE,CLLO,MX,MANO1,2023-08-19,2023-08-26
1,1106,CN,SNZN,KR,BSAN,2023-07-04,2023-07-09
1,1106,HK,HGKG,CN,SNZN,2023-07-03,2023-07-04
1,1106,KR,BSAN,PE,CLLO,2023-07-10,2023-08-06
1,1106,TW,KLUG,HK,HGKG,2023-07-01,2023-07-02
1,1405,MX,MANO1,PE,CLLO,2024-03-28,2024-04-06
1,1405,PE,CLLO,MX,MANO1,2024-04-07,2024-04-13
1,707,CN,SNGI,KR,BSAN,2022-09-17,2022-09-19
1,707,HK,HGKG,CN,SNGI,2022-09-12,2022-09-16
1,707,KR,BSAN,MX,MANO1,2022-09-20,2022-10-07
1,707,MX,MANO1,PE,CLLO,2022-10-09,2022-10-16
1,707,TW,KLUG,HK,HGKG,2022-09-10,2022-09-12
1,707,CN,QGDO,KR,BSAN,2022-09-12,2022-09-20
1,707,TW,KLUG,CN,QGDO,2022-09-10,2022-09-12
1409,1409,PA,BLBA,PE,CLLO,2023-10-18,2023-10-23
ALISAN,23,BR,SNTS,PE,CLLO,2023-11-17,2023-11-30
ALISAN,24,AR,BSAS,PE,CLLO,2023-12-14,2024-01-21
ALISAN,24,PE,CLLO,AR,BSAS,2024-01-22,2024-02-29
ANNSC,1407,ES,BELA,ES,VENA2,2023-06-03,2023-06-04
ANNSC,1407,ES,VENA2,PE,CLLO,2023-06-04,2023-06-23
ANNSC,1407,IT,VLIE,ES,BELA,2023-06-02,2023-06-03
ANTA,1,PA,BLBA,PE,CLLO,2024-04-23,2024-04-29
ANTA,4,PA,BLBA,PE,CLLO,2024-06-04,2024-06-08
ANTA,2,PA,BLBA,US,NWAK,2024-05-21,2024-06-04
ANTA,2,PE,CLLO,PA,BLBA,2024-05-14,2024-05-20
ANTA,2,US,NWAK,PE,CLLO,2024-04-29,2024-05-13
ANTA,3,PA,BLBA,US,NWAK,2024-06-04,2024-06-18
ANTA,3,PE,CLLO,PA,BLBA,2024-05-28,2024-06-03
ANTA,3,US,NWAK,PE,CLLO,2024-05-13,2024-05-27
ANTA,4,PA,CLON1,PE,CLLO,2024-06-03,2024-06-10
ANTA,4,PE,CLLO,PA,CLON1,2024-06-11,2024-06-18
APLIND,46,US,MMIL,PE,CLLO,2024-02-28,2024-03-11
APLIND,44,PA,BLBA,PE,CLLO,2023-12-12,2023-12-18
APLIND,45,CL,VARO,PE,CLLO,2023-12-23,2023-12-26
APLIND,46,PA,BLBA,PE,CLLO,2024-03-05,2024-03-11
APLIND,39,CL,VARO,PE,CLLO,2023-05-10,2023-05-21
APLIND,39,PE,CLLO,CL,VARO,2023-05-22,2023-05-26
APLIND,39,CO,BVEA,PE,CLLO,2023-05-18,2023-05-22
APLIND,39,PA,BLBA,CO,BVEA,2023-05-16,2023-05-18
APLIND,40,PA,BLBA,PE,CLLO,2023-05-10,2023-05-16
APLIND,40,PE,CLLO,PA,BLBA,2023-05-17,2023-05-23
APLIND,40,CL,VARO,PE,CLLO,2023-06-29,2023-07-03
APLIND,40,PE,CLLO,CL,VARO,2023-07-05,2023-07-08
APLIND,41,PA,BLBA,PE,CLLO,2023-08-08,2023-08-14
APLIND,41,CO,BVEA,PE,CLLO,2023-07-08,2023-07-12
APLIND,41,PE,CLLO,CO,BVEA,2023-07-13,2023-07-17
APLIND,42,PA,BLBA,PE,CLLO,2023-08-17,2023-08-22
APLIND,42,PE,CLLO,PA,BLBA,2023-08-23,2023-08-28
APLIND,42,CL,VARO,PE,CLLO,2023-09-21,2023-09-25
APLIND,42,PE,CLLO,CL,VARO,2023-09-26,2023-09-30
APLIND,42,PA,BLBA,PE,CLLO,2023-09-19,2023-09-25
APLIND,42,US,MMIL,PA,BLBA,2023-09-08,2023-09-18
APLIND,43,PA,BLBA,PE,CLLO,2023-09-28,2023-10-03
APLIND,43,PE,CLLO,PA,BLBA,2023-10-04,2023-10-09
APLIND,46,PA,BLBA,PE,CLLO,2024-01-31,2024-02-06
APLIND,46,PE,CLLO,PA,BLBA,2024-02-07,2024-02-12
APLIND,47,PA,BLBA,US,NWAK,2024-03-25,2024-04-01
APLIND,47,PE,CLLO,PA,BLBA,2024-03-19,2024-03-24
APLIND,47,US,NWAK,PE,CLLO,2024-03-08,2024-03-18
APLIND,47,PA,MANO,PE,CLLO,2024-03-12,2024-03-18
APLIND,47,PE,CLLO,PA,MANO,2024-03-19,2024-03-25
APLIND,48,PA,BLBA,US,NWAK,2024-05-06,2024-05-13
APLIND,48,PE,CLLO,PA,BLBA,2024-04-30,2024-05-05
APLIND,48,US,NWAK,PE,CLLO,2024-04-15,2024-04-29
APLIND,40,PA,BLBA,PE,CLLO,2023-06-27,2023-07-03
APLIND,43,PA,BLBA,PE,CLLO,2023-10-31,2023-11-06
APLIND,43,US,MMIL,PA,BLBA,2023-10-23,2023-10-31
APLIND,44,CL,VARO,PE,CLLO,2023-11-11,2023-11-15
APLIND,40,CR,POLN,PE,CLLO,2023-05-25,2023-05-30
APLIND,40,PE,CLLO,CR,POLN,2023-05-31,2023-06-12
APLMEL,41,PA,BLBA,PE,CLLO,2023-10-03,2023-10-09
APLMEL,42,PA,BLBA,PE,CLLO,2023-11-21,2023-11-27
APLMEL,42,US,MMIL,PA,BLBA,2023-11-13,2023-11-21
APLMEL,45,PA,BLBA,PE,CLLO,2024-03-26,2024-04-01
APLMEL,45,PA,MANO,PA,BLBA,2024-03-24,2024-03-26
APLMEL,44,PA,BLBA,PE,CLLO,2024-02-13,2024-02-19
APLMEL,38,CL,VARO,PE,CLLO,2023-06-01,2023-06-05
APLMEL,38,PE,CLLO,CL,VARO,2023-06-06,2023-06-10
APLMEL,38,PA,BLBA,PE,CLLO,2023-05-30,2023-06-05
APLMEL,39,PA,BLBA,PE,CLLO,2023-06-06,2023-06-13
APLMEL,39,PE,CLLO,PA,BLBA,2023-06-14,2023-06-20
APLMEL,39,PA,BLBA,PE,CLLO,2023-07-11,2023-07-18
APLMEL,39,PE,CLLO,CL,VARO,2023-07-18,2023-07-22
APLMEL,39,US,MMIL,PA,BLBA,2023-07-03,2023-07-10
APLMEL,40,PA,BLBA,PE,CLLO,2023-06-20,2023-06-25
APLMEL,40,PE,CLLO,PA,BLBA,2023-06-26,2023-07-01
APLMEL,40,PA,BLBA,PE,CLLO,2023-08-22,2023-08-28
APLMEL,40,PE,CLLO,CL,VARO,2023-08-28,2023-09-01
APLMEL,40,US,NWAK,US,MMIL,2023-08-10,2023-08-13
APLMEL,40,US,MMIL,PA,BLBA,2023-08-14,2023-08-21
APLMEL,40,US,TASN,US,NWAK,2023-08-05,2023-08-09
APLMEL,40,CO,BVEA,PE,CLLO,2023-07-22,2023-07-26
APLMEL,40,PE,CLLO,CO,BVEA,2023-07-27,2023-07-31
