CodigoNave,Viaje,Rumbo,CodigoPaisCarga,CodigoPuertoCarga,CodigoPaisDesCarga,CodigoPuertoDesCarga,fechaSalida,fechaLlegada,ClaveCarga,ClaveDesCarga,CodigoPuertoCargaAntiguo,CodigoPuertoDesCargaAntiguo
1,607,E,TW,KLUG,PE,CLLO,2022-06-25,2022-07-31,KEL|TW,CLL|PE,KEL,CLL
1,707,E,HK,HGKG,PE,CLLO,2022-09-12,2022-10-15,HKG|HK,CLL|PE,HKG,CLL
1,1005,E,CN,SNGI,KR,BSAN,2023-04-23,2023-04-25,SHA|CN,PUS|KR,SHA,PUS
1,1005,E,HK,HGKG,CN,SNGI,2023-04-18,2023-04-22,HKG|HK,SHA|CN,HKG,SHA
1,1005,E,KR,BSAN,TW,KLUG,2023-04-25,2023-04-26,PUS|KR,KEL|TW,PUS,KEL
1,1005,E,TW,KLUG,PE,CLLO,2023-04-26,2023-05-21,KEL|TW,CLL|PE,KEL,CLL
1,1005,E,TW,KHIG,HK,HGKG,2023-04-16,2023-04-17,KHH|TW,HKG|HK,KHH,HKG
1,1025,E,CN,JNGN1,TW,KLUG,2023-09-14,2023-09-17,JMN|CN,KEL|TW,JMN,KEL
1,1025,E,CN,SNZN,HK,HGKG,2023-09-19,2023-09-19,SZX|CN,HKG|HK,SZX,HKG
1,1025,E,HK,HGKG,PE,CLLO,2023-09-20,2023-11-04,HKG|HK,CLL|PE,HKG,CLL
1,1025,E,KR,BSAN,CN,SNZN,2023-09-19,2023-09-19,PUS|KR,SZX|CN,PUS,SZX
1,1025,E,TW,KLUG,KR,BSAN,2023-09-17,2023-09-19,KEL|TW,PUS|KR,KEL,PUS
1,1105,E,CN,NNGO,PE,CLLO,2023-07-10,2023-08-06,NGB|CN,CLL|PE,NGB,CLL
1,1105,E,CN,SNGI,CN,NNGO,2023-07-08,2023-07-09,SHA|CN,NGB|CN,SHA,NGB
1,1105,E,HK,HGKG,CN,SNGI,2023-07-04,2023-07-07,HKG|HK,SHA|CN,HKG,SHA
1,1305,E,HK,HGKG,KR,BSAN,2023-12-05,2023-12-12,HKG|HK,PUS|KR,HKG,PUS
1,1305,E,KR,BSAN,PE,CLLO,2023-12-12,2024-01-07,PUS|KR,CLL|PE,PUS,CLL
1,1305,E,TW,KLUG,HK,HGKG,2023-12-03,2023-12-04,KEL|TW,HKG|HK,KEL,HKG
1,1405,E,CN,JNGN1,TW,KLUG,2024-02-11,2024-02-18,JMN|CN,KEL|TW,JMN,KEL
1,1405,E,TW,KLUG,PE,CLLO,2024-02-19,2024-03-24,KEL|TW,CLL|PE,KEL,CLL
1,1505,E,CN,NNGO,PE,CLLO,2024-05-13,2024-06-09,NGB|CN,CLL|PE,NGB,CLL
1,1505,E,HK,HGKG,CN,NNGO,2024-05-06,2024-05-13,HKG|HK,NGB|CN,HKG,NGB
1,1505,E,TW,KLUG,HK,HGKG,2024-05-04,2024-05-05,KEL|TW,HKG|HK,KEL,HKG
1,707,E,KR,BSAN,PE,CLLO,2022-09-20,2022-10-15,PUS|KR,CLL|PE,PUS,CLL
1,707,E,TW,KLUG,KR,BSAN,2022-09-10,2022-09-20,KEL|TW,PUS|KR,KEL,PUS
1,707,W,CL,VARO,PE,CLLO,2022-10-22,2022-10-29,VAP|CL,CLL|PE,VAP,CLL
1,1105,E,CN,SNZN,KR,BSAN,2023-07-04,2023-07-12,SZX|CN,PUS|KR,SZX,PUS
1,1105,E,CN,QGDO,CN,SNZN,2023-07-03,2023-07-04,TAO|CN,SZX|CN,TAO,SZX
1,1105,E,KR,BSAN,PE,CLLO,2023-07-12,2023-08-06,PUS|KR,CLL|PE,PUS,CLL
1,1105,E,TW,KLUG,CN,QGDO,2023-07-01,2023-08-03,KEL|TW,TAO|CN,KEL,TAO
1,1105,W,MX,MANO1,PE,CLLO,2023-08-13,2023-08-18,ZLO|MX,CLL|PE,ZLO,CLL
1,1105,W,PE,CLLO,MX,MANO1,2023-08-19,2023-08-26,CLL|PE,ZLO|MX,CLL,ZLO
1,1106,E,CN,SNZN,KR,BSAN,2023-07-04,2023-07-09,SZX|CN,PUS|KR,SZX,PUS
1,1106,E,HK,HGKG,CN,SNZN,2023-07-03,2023-07-04,HKG|HK,SZX|CN,HKG,SZX
1,1106,E,KR,BSAN,PE,CLLO,2023-07-10,2023-08-06,PUS|KR,CLL|PE,PUS,CLL
1,1106,E,TW,KLUG,HK,HGKG,2023-07-01,2023-07-02,KEL|TW,HKG|HK,KEL,HKG
1,1405,N,MX,MANO1,PE,CLLO,2024-03-28,2024-04-06,ZLO|MX,CLL|PE,ZLO,CLL
1,1405,N,PE,CLLO,MX,MANO1,2024-04-07,2024-04-13,CLL|PE,ZLO|MX,CLL,ZLO
1,707,E,CN,SNGI,KR,BSAN,2022-09-17,2022-09-19,SHA|CN,PUS|KR,SHA,PUS
1,707,E,HK,HGKG,CN,SNGI,2022-09-12,2022-09-16,HKG|HK,SHA|CN,HKG,SHA
1,707,E,KR,BSAN,MX,MANO1,2022-09-20,2022-10-07,PUS|KR,ZLO|MX,PUS,ZLO
1,707,E,MX,MANO1,PE,CLLO,2022-10-09,2022-10-16,ZLO|MX,CLL|PE,ZLO,CLL
1,707,E,TW,KLUG,HK,HGKG,2022-09-10,2022-09-12,KEL|TW,HKG|HK,KEL,HKG
1,707,E,CN,QGDO,KR,BSAN,2022-09-12,2022-09-20,TAO|CN,PUS|KR,TAO,PUS
1,707,E,TW,KLUG,CN,QGDO,2022-09-10,2022-09-12,KEL|TW,TAO|CN,KEL,TAO
1409,1409,N,PA,BLBA,PE,CLLO,2023-10-18,2023-10-23,BLB|PA,CLL|PE,BLB,CLL
ALISAN,23,W,BR,SNTS,PE,CLLO,2023-11-17,2023-11-30,SSZ|BR,CLL|PE,SSZ,CLL
ALISAN,24,N,AR,BSAS,PE,CLLO,2023-12-14,2024-01-21,BUE|AR,CLL|PE,BUE,CLL
ALISAN,24,N,PE,CLLO,AR,BSAS,2024-01-22,2024-02-29,CLL|PE,BUE|AR,CLL,BUE
ANNSC,1407,S,ES,BELA,ES,VENA2,2023-06-03,2023-06-04,BCN|ES,VLC|ES,BCN,VLC
ANNSC,1407,S,ES,VENA2,PE,CLLO,2023-06-04,2023-06-23,VLC|ES,CLL|PE,VLC,CLL
ANNSC,1407,S,IT,VLIE,ES,BELA,2023-06-02,2023-06-03,VDL|IT,BCN|ES,VDL,BCN
ANTA,1,E,PA,BLBA,PE,CLLO,2024-04-23,2024-04-29,BLB|PA,CLL|PE,BLB,CLL
ANTA,4,E,PA,BLBA,PE,CLLO,2024-06-04,2024-06-08,BLB|PA,CLL|PE,BLB,CLL
ANTA,2,NB,PA,BLBA,US,NWAK,2024-05-21,2024-06-04,BLB|PA,EWR|US,BLB,EWR
ANTA,2,NB,PE,CLLO,PA,BLBA,2024-05-14,2024-05-20,CLL|PE,BLB|PA,CLL,BLB
ANTA,2,NB,US,NWAK,PE,CLLO,2024-04-29,2024-05-13,EWR|US,CLL|PE,EWR,CLL
