CodigoNave,NombreNave
1,MOL PACE
00LA,LA2524
1409,MAERSK SELETAR
AGROS,AGROS
ALAUA,ALIANCA MAUA
ALDES,ALIANCA ANDES
ALERA,ALIANCA COORDILLERA
ALERS,ALICE RICKMERS
ALESS,ALEMANIA EXPRESS
ALICA,ALLIANCA ATLANTICA
ALICE,ALICE
ALIOT,ALIOT
ALISAN,ALIANCA SAN MARTIN
ALOBO,ALGARROBO
ALPAS,ALIANCA PAMPAS
ALRCA,ALIANCA URCA
ALRTA,ALBERTA
ALULO,ALLIANCA SAO PAULO
AMERXX,AMERICANA 2
AMNA,AMERICANA
ANDGE,ANDES BRIDGE
ANENA,ANAKENA
ANERS,ANDRE RICKMERS
ANGOL,ANGOL
ANLIA,ANGLIA
ANLTE,ANNABELLE SCHULTE
ANNSC,ANNA SCHEPERS
ANOLA,ANGOLA
ANONA,ANCONA
ANTA,ANTARES J
APADE,APL JADE
APBOA,APL BALBOA
APEST,APL EARNEST
APGOS,APL GALAPAGOS
APGUA,APL MANAGUA
APIMA,APL COLIMA
APISE,APL TURQUOISE
APLIND,APL INDONESIA
APLMEL,APL MELBOURNE
APLSHA,APL SHANGHAI
APLXX,APL GARNET
APLXXX,SUSANNE SCHULTE
APMAN,APL OMAN
APMAR,APL OLIMAR
APOZA,APL MENDOZA
APSIA,APL MALAYSIA
APYPT,APL EGYPT
AQNIA,AQUITANIA
ARANA,ARIANA
ARDGE,ARICA BRIDGE
ARIA,ARIAN
ARSOS,ARSOS
ASCA,AS CATALANIA
ASOON,ASIAN MOON
ASSUS,AS PEGASUS
ATENA,ATHENA
AUAND,AUCKLAND
AULTE,AUGUSTE SCHULTE
AUN E,AUTUMN E
BACH,BALTHASAR SCHULTE
BADER,BALTRUM TRADER
BADGE,BAI CHAY BRIDGE
BAHIA,BAHIA
BAKAN,BALKAN
BALLO,BAHIA CASTILLO
BANCA,BAHIA BLANCA
BANDE,BAHIA GRANDE
BAOS,BALTIMAR EUROS
BARR,BARRY
BAURA,BAHIA LAURA
BED S,BERNHARD S
BEICA,BELGICA
BESC,BELLA SCHULTE
BONNY,BONNY
BOSC,BODO SCHULTE
BOTS,BOTSWANA
BRAVO,BRAVO
BRDGE,BROOKLING BRIDGE
BUDGE,BUDAPEST BRIDGE
BUDUA,BUNGA SEROJA DUA
BUITE,BUXFAVOURITE
BUTU,BUNGA SEROJA SATU
CAACU,CAM CGM IGUACU
CAAEL,CAP SAN RAPHAEL
CAALD,CAP HARALD
CAAN,CAP MATAPAN
CAAND,CAP PORTLAND
CAANO,CAP VILANO
CAART,CAP STEWART
CAATO,CAP FERRATO
CABEL,CAP ISABEL
CABON,CAP BON
CACHE,CAP BLANCHE
CACO,CAP CORTES
CAEAL,CAP MONTREAL
CAEAS,CAP MALEAS
CAEGO,CAP MONDEGO
CAELL,CAP CAMPBELL
CAERT,CAP GILBERT
CAEX,CANBERRA EXPRESS
CAGAR,CAP TRAFALGAR
CAGO,CAP DOMINGO
CAGU,CAP AGUILAR
CAHAM,CAP GRAHAM
CAHON,CAPE MAHON
CAINA,CARIBBEAN SINA
CAINO,CALA PINO
CALAS,CAP SAN NICOLAS
CALE,CAP MELVILLE
CALEY,CAP PASLEY
CALLO,CAP CASTILLO
CAMAS,CAP PALMAS
CAMO,CAP MORETON
CANAS,CAP SALINAS
CANCO,CAP. BLANCO
CANES,CAP INES
CANGO,CAP. DOMINGO
CANIO,CAP SAN ANTONIO
CANRI,CAP HENRI
CANTE,CAP VALIENTE
CAOCA,CAP ROCA
CAONT,CAP EGMONT
CAORY,CAP GREGORY
CAOTT,CAP SCOTT
CAPARN,CAP ARNAUTI
CAPSPE,CAP SPENCER
CARAT,CAP SERRAT
CARDA,CAP RICARDA
CARDE,CAP VERDE
CARIO,CAP FRIO
CARON,CAP BYRON
CARRE,CAP FINISTERRE
CARTA,CAP ROBERTA
CASEA,CARIBBEAN SEA
CAST,CAROLINA STAR
CASTA,CAP BONAVISTA
CATAL,CAP TALBOT
CATAR,CARLOTTA STAR
CATE,CAP NORTE
CATIN,CAPE MARTIN
CATO,CAP DOUKATO
CATR,CARDIFF TRADER
CAUEL,CAP MANUEL
CAULA,CALA PULA
CAVIS,CAP JERVIS
CAZUL,CAP AZUL
CCAMA,CCNI ATACAMA
CCAQ,CCNI AQUILES
CCAR,CCNI ARAUCO
CCAS,CCNI PUNTA ARENAS
CCBES,CCNI TUMBES
CCBI,CCNI BILBAO
CCCO,CCNI ANTARTICO
CCCUD,CCNI ANCUD
CCDEO,CCNI AMADEO
CCFL,COSCO FELIXSTOWE
CCGBO,CCNI NINGBO
CCHAI,CCNI SHANGHAI
CCICA,CCNI ARICA
CCICO,CCNI BALTICO
CCINO,CCNI ANDINO
CCISO,CCNI VALPARAISO
CCLBE,CCNI ELBE
CCLLO,CCNI MANZANILLO
CCLMA,CCNI TOPOCALMA
CCMAC,CCNI RIMAC
CCNCA,CCNI ANTILLANCA
CCOL,CCNI ANGOL
CCOS,CCNI POTRERILLOS
CCPU,CCNI PUSAN
CCRAL,CCNI AUSTRAL
CCRES,CCNI CHAGRES
CCRGO,CCNI HAMBURGO
CCSAN,CCNI BUSAN
CCSEN,CCNI AYSEN
CCTA,CCNI ANTOFAGASTA
CCTEN,CCNI TOLTEN
CCUNA,CCNI FORTUNA
CCURE,CCNI VADO LIGURE
CCVER,CCNI VANCOUVER
CCYAS,CCNI GUAYAS
CCYO,CCNI TOKYO
CELST,CELINA STAR
CHERS,CHARLOTTE C. RICKMERS
CHINE,CHRISTINE
CHION,CHAMPION
CHSEA,CHELSEA
CIICA,CIELO D AMERICA
CIMEN,CITY OF XIAMEN
CIOPA,CIELO DE EUROPA
CIQU,CCNI IQUIQUE
CLARY,CLAN LEGIONARY
CLGER,CLAN CHALLENGER
