CodigoPuerto,CodigoPais,TipoTransporte,EsPuertoLocal,NombrePuerto
KPER,SI,M,0,KOPER
HARA,TR,M,0,HAYDARPASA
ANAA,DZ,M,0,ANNABA
ACHN,DE,M,0,AACHEN
ABOG,DK,M,0,AALBORG
AAIN,AE,M,0,AL AIN
ARHS,DK,M,0,AARHUS
ARDN,GB,M,0,ABERDEEN
AOLE,ES,M,0,ALBOLOTE
ACRA,GH,M,0,ACCRA
LARE,ES,A,0,LANZAROTE
TCOA,US,M,0,TACOMA
AJUA,CR,M,0,ACAJUTLA
AANA,TR,M,0,ADANA
ASAA,AO,M,0,ADDIS ABABA
ADEN,YE,M,0,ADEN
AHEO,PT,M,0,ANGRA DO HEROISMO
ALAE,AU,M,0,ADELAIDE
ASUD,NO,M,0,ALESUND
ASBG,DE,M,0,AUGSBURG
MLAA,ES,A,0,MALAGA
HIYN,CN,M,0,HUAIYIN
AMAN,AE,M,0,AJMAN
AKEN,IL,M,0,ASHKELON
AKLD,NZ,A,0,AUCKLAND
AACE,ES,M,0,ALBACETE
ACAE,ES,A,0,ALICANTE
AANA1,IT,M,0,ALESSANDRIA
AGER,DZ,M,0,ALGER
ACIS,ES,M,0,ALGECIRAS
AANA2,EG,M,0,ALEXANDRIA
AARI,TR,M,0,AMBARLI
ADAD,IN,M,0,AHMEDABAD
AMAN1,JO,M,0,AMMAN
AERM,NL,A,0,AMSTERDAM
AAGA,CL,M,0,ANTOFAGASTA
AKAA,TR,M,0,ANKARA
AWEP,BE,M,0,ANTWERP
ABAH,DE,M,0,ANSBACH
ACOA,IT,M,0,ANCONA
ASTA,IT,M,0,AOSTA
APIA,WS,M,0,APIA
AQIG,CN,M,0,ANQING
AEZO,IT,M,0,AREZZO
AICA,CL,M,0,ARICA
AHDD,IL,M,0,ASHDOD
ASHN,CN,M,0,ANSHAN
AIPO,IT,M,0,ASCOLI PICENO
KSEI,TR,M,0,KAYSERI
ASTI,IT,M,0,ASTI
ANCN,PY,M,0,ASUNCION
ANTA,US,A,0,"ATLANTA, GA"
AAMA,BR,M,0,ALTAMIRA
ADHI,AE,M,0,ABU DHABI
ALLO,IT,M,0,AVELLINO
AILA,ES,M,0,AVILA
AGNN,FR,M,0,AVIGNON
AITA,JP,M,0,AKITA
AANA3,CY,M,0,AYIA NAPA
AYAG,CN,M,0,ANYANG
BISA,SK,M,0,BRATISLAVA
BDIG,CN,M,0,BAO DING
BRAN,BH,A,0,BAHRAIN
BIME,US,M,0,BALTIMORE
BNQA,CO,A,0,BARRANQUILLA
BUQN,CN,M,0,BAYUQUAN
BDNS,PH,M,0,BACOLOD NEGROS
BELA,ES,A,0,BARCELONA
BRMN,ID,M,0,BANJARMASIN
BLBY,AU,M,0,BELL BAY
BFAT,GB,M,0,BELFAST
BNXI,CN,M,0,BENXI
BVEO,IT,M,0,BENEVENTO
BRLN,DE,A,0,BERLIN
BSHA,IL,M,0,BEER SHEBA
BIRA,MZ,M,0,BEIRA
BIRT,LB,M,0,BEIRUT
BEFD,DE,M,0,BIELEFELD
BGEN,BB,M,0,BRIDGETOWN
BGAO,IT,M,0,BERGAMO
BRGN,NO,M,0,BERGEN
BHDD,IQ,M,0,BAGHDAD
BINM,GB,M,0,BIRMINGHAM
BIHI,CN,M,0,BEIHAI
BELA1,IT,M,0,BIELLA
BZHU,CN,M,0,BIN ZHOU
BLBO,ES,A,0,BILBAO
BNGL,US,M,0,BIRMINGHAM AL
BJAA,DZ,M,0,BEJAIA
BNJL,GM,M,0,BANJUL
BJIO,CN,M,0,BEIJIAO
BJIG,CN,M,0,BEIJING
BOJI,CN,M,0,BAO JI
BAJZ,ES,M,0,BADAJOZ
BGKK,TH,A,0,BANGKOK
BMAO,ML,M,0,BAMAKO
BLBA,PA,M,0,BALBOA
BOGA,IT,M,0,BOLOGNA
BALE,IN,M,0,BANGALORE
BAWN,ID,M,0,BELAWAN
BLUO,IT,M,0,BELLUNO
BNTE,MW,M,0,BLANTYRE
BSBE,AU,M,0,BRISBANE
BDEX,FR,M,0,BORDEAUX
BGOA,CO,A,0,BOGOTA
BRGS,BG,M,0,BURGAS
BCHM,DE,M,0,BOCHUM
MMBI,IN,M,0,MUMBAI
BNNY,DE,M,0,BONNY
BRAS,SE,M,0,BORAS
BSTN,US,A,0,BOSTON
