CodigoPuerto,CodigoPais,NombrePuerto,TipoTransporte,EsPuertoLocal,NombreAntiguo,CodAntiguo
KPER,SI,KOPER,M,0,KOPER,123
HARA,TR,HAYDARPASA,M,0,HAYDARPASA,827
ANAA,DZ,ANNABA,M,0,ANNABA,AAE
ACHN,DE,AACHEN,M,0,AACHEN,AAH
ABOG,DK,AALBORG,M,0,AALBORG,AAL
AAIN,AE,ALAIN,M,0,AL AIN,AAN
ARHS,DK,AARHUS,M,0,AARHUS,AAR
ARDN,GB,ABERDEEN,M,0,ABERDEEN,ABD
AOLE,ES,ALBOLOTE,M,0,ALBOLOTE,ACB
ACRA,GH,ACCRA,M,0,ACCRA,ACC
LARE,ES,LANZAROTE,A,0,LANZAROTE,ACE
TCOA,US,TACOMA,M,0,TACOMA,ACI
AJUA,CR,ACAJUTLA,M,0,ACAJUTLA,ACJ
AANA,TR,ADANA,M,0,ADANA,ADA
ASAA,AO,ADDISABABA,M,0,ADDIS ABABA,ADD
ADEN,YE,ADEN,M,0,ADEN,ADE
AHEO,PT,ANGRADOHEROISMO,M,0,ANGRA DO HEROISMO,ADH
ALAE,AU,ADELAIDE,M,0,ADELAIDE,ADL
ASUD,NO,ALESUND,M,0,ALESUND,AES
ASBG,DE,AUGSBURG,M,0,AUGSBURG,AGB
MLAA,ES,MALAGA,A,0,MALAGA,AGP
HIYN,CN,HUAIYIN,M,0,HUAIYIN,AIN
AMAN,AE,AJMAN,M,0,AJMAN,AJM
AKEN,IL,ASHKELON,M,0,ASHKELON,AKL
AKLD,NZ,AUCKLAND,A,0,AUCKLAND,AKL
AACE,ES,ALBACETE,M,0,ALBACETE,ALB
ACAE,ES,ALICANTE,A,0,ALICANTE,ALC
AANA1,IT,ALESSANDRIA,M,0,ALESSANDRIA,ALE
AGER,DZ,ALGER,M,0,ALGER,ALG
ACIS,ES,ALGECIRAS,M,0,ALGECIRAS,ALG
AANA2,EG,ALEXANDRIA,M,0,ALEXANDRIA,ALY
AARI,TR,AMBARLI,M,0,AMBARLI,AMB
ADAD,IN,AHMEDABAD,M,0,AHMEDABAD,AMD
AMAN1,JO,AMMAN,M,0,AMMAN,AMM
AERM,NL,AMSTERDAM,A,0,AMSTERDAM,AMS
AAGA,CL,ANTOFAGASTA,M,0,ANTOFAGASTA,ANF
AKAA,TR,ANKARA,M,0,ANKARA,ANK
AWEP,BE,ANTWERP,M,0,ANTWERP,ANR
ABAH,DE,ANSBACH,M,0,ANSBACH,ANS
ACOA,IT,ANCONA,M,0,ANCONA,AOI
ASTA,IT,AOSTA,M,0,AOSTA,AOT
APIA,WS,APIA,M,0,APIA,APW
AQIG,CN,ANQING,M,0,ANQING,AQG
AEZO,IT,AREZZO,M,0,AREZZO,ARE
AICA,CL,ARICA,M,0,ARICA,ARI
AHDD,IL,ASHDOD,M,0,ASHDOD,ASH
ASHN,CN,ANSHAN,M,0,ANSHAN,ASN
AIPO,IT,ASCOLIPICENO,M,0,ASCOLI PICENO,ASP
KSEI,TR,KAYSERI,M,0,KAYSERI,ASR
ASTI,IT,ASTI,M,0,ASTI,AST
ANCN,PY,ASUNCION,M,0,ASUNCION,ASU
ANTA,US,"ATLANTA,GA",A,0,"ATLANTA, GA",ATL
AAMA,BR,ALTAMIRA,M,0,ALTAMIRA,ATM
ADHI,AE,ABUDHABI,M,0,ABU DHABI,AUH
ALLO,IT,AVELLINO,M,0,AVELLINO,AVE
AILA,ES,AVILA,M,0,AVILA,AVI
AGNN,FR,AVIGNON,M,0,AVIGNON,AVN
AITA,JP,AKITA,M,0,AKITA,AXT
AANA3,CY,AYIANAPA,M,0,AYIA NAPA,AYI
AYAG,CN,ANYANG,M,0,ANYANG,AYN
BISA,SK,BRATISLAVA,M,0,BRATISLAVA,BAB
BDIG,CN,BAODING,M,0,BAO DING,BAD
BRAN,BH,BAHRAIN,A,0,BAHRAIN,BAH
BIME,US,BALTIMORE,M,0,BALTIMORE,BAL
BNQA,CO,BARRANQUILLA,A,0,BARRANQUILLA,BAQ
BUQN,CN,BAYUQUAN,M,0,BAYUQUAN,BAY
BDNS,PH,BACOLODNEGROS,M,0,BACOLOD NEGROS,BCD
BELA,ES,BARCELONA,A,0,BARCELONA,BCN
BRMN,ID,BANJARMASIN,M,0,BANJARMASIN,BDJ
BLBY,AU,BELLBAY,M,0,BELL BAY,BEL
BFAT,GB,BELFAST,M,0,BELFAST,BEL
BNXI,CN,BENXI,M,0,BENXI,BEN
BVEO,IT,BENEVENTO,M,0,BENEVENTO,BEN
BRLN,DE,BERLIN,A,0,BERLIN,BER
BSHA,IL,BEERSHEBA,M,0,BEER SHEBA,BEV
BIRA,MZ,BEIRA,M,0,BEIRA,BEW
BIRT,LB,BEIRUT,M,0,BEIRUT,BEY
BEFD,DE,BIELEFELD,M,0,BIELEFELD,BFE
BGEN,BB,BRIDGETOWN,M,0,BRIDGETOWN,BGI
BGAO,IT,BERGAMO,M,0,BERGAMO,BGO
BRGN,NO,BERGEN,M,0,BERGEN,BGO
BHDD,IQ,BAGHDAD,M,0,BAGHDAD,BGW
BINM,GB,BIRMINGHAM,M,0,BIRMINGHAM,BHM
BIHI,CN,BEIHAI,M,0,BEIHAI,BHY
